ticker,type,description,coupon,current_price,low_52w,high_52w,range_width_pct,position_pct,num_swings,avg_swing_pct,current_yield_pct,avg_volume,is_swing_candidate
HTFB,bdc,Horizon Technology Finance Corp. 4.875% Notes due 03/30/2026,4.875,25.72,24.62,26.61,8.1,55.2,28,0.5,,585,False
OPIRQ,baby_bond,Office Properties Income Trust 6.375% Senior Notes due 6/23/2050,6.375,0.26,0.01,9.15,83081.8,2.7,27,662.2,613.0,26603,True
SCCG,baby_bond,Sachem Capital Corp. 8.00% Notes due 09/30/2027,8.0,23.66,17.15,24.55,43.1,88.0,27,3.7,8.5,3585,False
MGR,preferred,Affiliated Managers Group 5.875% Junior Subordinated Notes due 3/30/2059,5.875,19.65,19.46,23.14,18.9,5.2,27,3.0,7.5,24370,False
SOJD,preferred,Southern Co. Series 2020A 4.95% Junior Subordinated Notes due 1/30/2080,4.95,19.5,19.26,22.4,16.3,7.6,27,2.7,6.3,97313,False
ENO,corporate,Entergy New Orleans 5.50% Series First Mortgage Bonds due 4/1/2066,5.5,21.86,21.21,24.95,17.6,17.4,27,2.6,6.3,6824,False
UNMA,preferred,Unum Group 6.25% Junior Subordinated Notes due 6/15/2058,6.25,22.91,22.7,25.12,10.7,8.7,27,2.4,6.8,19748,False
RWTP,baby_bond,Redwood Trust Inc 9.125% Senior Notes due 3/1/2030,9.125,24.11,22.7,25.89,14.1,44.2,27,2.3,9.5,12828,False
PMTU,baby_bond,PennyMac Mortgage Investment Trust 8.50% Senior Notes due 9/30/2028,8.5,25.65,24.46,26.26,7.4,66.1,27,1.5,8.3,4445,False
METCZ,baby_bond,Ramaco Resources Inc 8.375% Senior Notes due 11/30/2029,8.375,25.12,23.18,26.0,12.2,68.8,27,1.5,8.3,7883,False
ECCV,baby_bond,Eagle Point Credit Co. 5.375% Notes due 01/31/2029,5.375,23.38,21.94,24.27,10.6,61.9,27,1.4,5.7,5305,False
OXLCG,baby_bond,Oxford Lane Capital Corp. 7.95% Notes due 2032,7.95,24.76,24.06,25.6,6.4,45.5,27,1.4,8.0,14959,False
ATLCZ,baby_bond,Atlanticus Holdings Corp 9.25% Senior Notes Due 01/31/2029,9.25,25.01,23.4,25.89,10.6,64.7,27,1.2,9.2,24677,False
HTFC,bdc,Horizon Technology Finance Corp. 6.25% Notes due 06/15/2027,6.25,24.53,23.84,25.24,5.9,49.3,27,1.1,,2534,False
BHFAL,preferred,Brighthouse Financial 6.25% Junior Subordinated Debentures due 9/15/2058,6.25,16.72,16.15,21.31,32.0,11.0,26,4.8,9.3,41131,False
BEPJ,perpetual,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,7.25,24.1,21.06,26.09,23.9,60.5,26,3.1,,11747,False
AFGE,preferred,American Financial Group Inc. 4.50% Subordinated Debentures due 9/15/2060,4.5,16.22,16.09,19.41,20.6,3.9,26,3.0,6.9,9246,False
MGRE,preferred,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 3/30/2064,6.75,22.47,22.38,25.58,14.3,2.8,26,2.5,7.5,31287,False
KMPB,preferred,Kemper Corp 5.875% Fixed-Rate Reset Junior Sub Debentures due 03/15/2062,5.875,22.9,20.69,24.18,16.9,63.3,26,2.1,6.4,18705,False
RWTN,baby_bond,Redwood Trust Inc 9.125% Senior Notes due 3/1/2029,9.125,24.36,22.48,25.77,14.6,57.1,26,2.0,9.4,7572,False
HCXY,bdc,Hercules Capital 6.25% Notes due 10/30/2033,6.25,24.95,24.36,25.71,5.5,44.1,26,1.8,,1607,False
INBKZ,preferred,First Internet Bancorp 6.00% Fixed-to-Floating Rate Sub Notes due 6/30/2029,6.0,24.5,23.0,25.14,9.3,70.0,26,1.7,6.1,2665,False
MFAO,baby_bond,MFA Financial Inc. 9.00% Senior Notes due 08/15/2029,9.0,25.29,24.18,25.75,6.5,70.7,26,1.3,8.9,14179,False
OFSSH,bdc,OFS Capital Corp. 4.95% Notes due 10/31/2028,4.95,23.89,22.1,24.05,8.8,91.8,26,1.2,,2515,False
PMTV,baby_bond,PennyMac Mortgage Investment Trust 9.00% Senior Notes due 2/15/2030,9.0,25.25,24.5,25.87,5.6,54.7,26,1.2,8.9,22830,False
RWAYZ,bdc,Runway Growth Finance Corp. 8.00% Notes Due 12/31/2027,8.0,24.99,24.83,25.64,3.3,19.8,26,0.8,,6335,False
OXLCZ,baby_bond,Oxford Lane Capital Corp. 5.00% Notes due 01/31/2027,5.0,24.53,23.44,24.79,5.8,80.7,26,0.7,5.1,6665,False
RILYZ,baby_bond,BRC Group Holdings Inc. 5.25% Senior Notes Due 08/31/2028,5.25,16.73,4.86,17.79,266.0,91.8,25,15.0,7.8,47621,True
QVCC,baby_bond,QVC Inc. 6.25% Senior Secured Notes due 11/26/2068,6.25,10.28,6.0,11.5,91.7,77.8,25,11.5,15.2,84012,False
QVCD,baby_bond,QVC Inc. 6.375% Senior Secured Notes due 9/13/2067,6.375,10.37,6.01,11.71,94.8,76.5,25,9.8,15.4,36330,False
SF,preferred,Stifel Financial Corp. 5.20% Senior Notes due 10/15/2047,5.2,73.98,48.85,89.83,83.9,61.3,25,8.1,1.8,1276002,False
CTDD,baby_bond,Qwest Corporation 6.75% Notes due 6/15/2057,6.75,19.43,13.86,21.4,54.4,73.9,25,6.5,8.7,31251,False
CSWC,bdc,Capital Southwest Corp. 7.75% notes due 8/1/2028,7.75,21.93,17.46,23.84,36.5,70.1,25,4.9,1158.0,605952,False
CRBD,preferred,Corebridge Financial Inc. 6.375% Junior Subordinated Notes due 12/15/2064,6.375,23.23,19.76,25.34,28.2,62.2,25,3.3,6.9,59602,False
RCD,baby_bond,Ready Capital Corp 9.00% Senior Notes due 12/15/2029,9.0,19.35,18.55,24.45,31.8,13.6,25,3.2,11.6,17747,False
HWCPZ,preferred,Hancock Whitney Corp. 6.25% Subordinated Notes due 6/15/2060,6.25,21.97,21.11,25.7,21.7,18.7,25,3.1,7.1,9722,False
SOJE,preferred,Southern Co. Series 2020C 4.20% Junior Subordinated Notes due 10/15/2060,4.2,17.17,16.9,19.74,16.8,9.5,25,3.0,6.1,59829,False
ENJ,corporate,Entergy New Orleans 5.00% Series First Mortgage Bonds due 12/1/2052,5.0,20.11,19.86,22.81,14.9,8.5,25,2.9,6.2,1666,False
DTG,preferred,DTE Energy Co Series E 4.375% Junior Subordinated Debentures due 12/01/2081,4.375,16.55,16.45,18.95,15.2,4.0,25,2.8,6.6,29001,False
AFGD,preferred,American Financial Group Inc. 5.625% Subordinated Debentures due 6/1/2060,5.625,19.82,18.19,22.8,25.3,35.4,25,2.4,7.1,7738,False
CMSD,preferred,CMS Energy Corp. 5.875% Junior Subordinated Notes due 3/1/2079,5.875,22.15,21.6,24.76,14.6,17.4,25,2.4,6.6,43995,False
MHLA,preferred,Maiden Holdings Ltd 6.625% Notes due 6/14/2046,6.625,10.98,9.93,15.7,58.1,18.2,25,2.4,15.1,5889,False
PRS,preferred,Prudential Financial Inc. 5.625% Junior Subordinated Notes due 8/15/2058,5.625,22.62,22.35,25.19,12.7,9.5,25,1.8,6.2,35027,False
APOS,preferred,Apollo Global Management Reset Rate Junior Subordinated Notes due 9/15/2053,7.0,25.5,24.89,27.43,10.2,24.0,25,1.5,6.9,50205,False
NEWTH,bdc,NewtekOne Inc 8.625% Fixed Rate Senior Notes due 10/15/2029,8.625,25.08,23.0,25.66,11.6,78.2,25,1.4,,9690,False
BHFAN,preferred,Brighthouse Financial Inc. 5.375% DEP PFD C,5.375,12.48,11.51,17.4,51.2,16.5,24,9.9,10.8,124112,False
BHFAO,preferred,Brighthouse Financial Inc. 6.75% DP SHS PF B,6.75,15.98,14.19,21.94,54.6,23.1,24,8.0,10.6,70649,False
AFGC,preferred,American Financial Group 5.125% Subordinated Debentures due 12/15/2059,5.125,18.25,17.93,20.8,16.0,11.1,24,3.4,7.0,11401,False
FGSN,preferred,F&G Annuities & Life Inc. 7.30% Junior Subordinated Notes due 1/15/2065,7.3,20.35,19.31,24.98,29.4,18.3,24,3.4,9.0,38049,False
MGRD,preferred,Affiliated Managers Group Inc. 4.20% Junior Subordinated Notes due 9/30/2061,4.2,14.67,14.49,16.94,16.9,7.3,24,2.8,7.2,11478,False
DTW,preferred,DTE Energy Co. Series E 5.25% Junior Subordinated Debentures due 12/1/2077,5.25,20.6,20.5,23.23,13.3,3.7,24,2.8,6.4,25565,False
AFGB,preferred,American Financial Group 5.875% Subordinated Debentures due 3/30/2059,5.875,20.66,20.48,23.47,14.6,6.1,24,2.4,7.1,10083,False
LTSL,baby_bond,Osaic Financial Services 6.50% Senior Notes due 11/30/2027,6.5,25.01,20.24,25.07,23.9,98.8,24,2.3,6.5,4195,False
ASBA,preferred,Associated Banc-Corp Reset Rate Subordinated Notes due 03/01/2033,7.0,24.54,22.99,25.26,9.9,68.3,24,2.2,7.1,18611,False
DUKB,preferred,Duke Energy Corp. 5.625% Junior Subordinated Debentures due 9/15/2078,5.625,23.41,23.23,25.3,8.9,8.7,24,1.9,6.0,33984,False
ADAMG,baby_bond,Adamas Trust Inc 9.125% Senior Notes due 04/01/2030,9.125,24.45,22.7,25.47,12.2,63.2,24,1.5,9.3,23536,False
ECCW,baby_bond,Eagle Point Credit Company Inc. 6.75% Notes Due 03/31/2031,6.75,25.2,22.28,25.24,13.3,98.5,24,1.5,6.7,4939,False
MFAN,baby_bond,MFA Financial Inc. 8.875% Senior Notes due 02/15/2029,8.875,25.1,24.02,26.5,10.3,43.5,24,1.3,8.8,20140,False
RCC,baby_bond,Ready Capital Corp. 5.75% Senior Notes due 2/15/2026,5.75,25.04,23.97,26.87,12.1,36.9,24,1.1,5.7,11040,False
SAR,bdc,Saratoga Investment Corp 7.50% Notes due 2/6/2031,7.5,21.38,20.78,25.64,23.4,12.3,23,5.3,1372.0,118292,False
FGN,baby_bond,F&G Annuities & Life Inc. 7.950% Senior Notes due 12/15/2053,7.95,24.75,23.1,27.6,19.5,36.7,23,3.3,8.0,24137,False
SOJC,preferred,Southern Co. 5.25% Series 2017B Junior Subordinated Notes due 12/1/2077,5.25,21.0,20.5,24.04,17.3,14.1,23,3.0,6.2,27255,False
AOMD,baby_bond,Angel Oak Mortgage REIT Inc. 9.75% Senior Notes due 6/1/2030,9.75,25.0,23.52,25.84,9.9,63.8,23,1.4,9.8,8400,False
MITN,baby_bond,AG Mortgage Investment Trust 9.500% Senior Notes due 2/15/2029,9.5,25.13,21.5,26.25,22.1,76.4,23,1.3,9.5,5263,False
RILYG,baby_bond,BRC Group Holdings Inc 5.00% Senior Notes Due 12/31/2026,5.0,23.09,6.12,23.65,286.4,96.8,22,17.2,5.4,29054,True
OFS,bdc,OFS Capital Corp. 7.50% Notes due 07/31/2028,7.5,3.4,2.72,9.49,248.9,10.0,22,11.1,1915.0,75359,False
MGRB,preferred,Affiliated Managers Group Inc. 4.75% Junior Subordinated Notes due 9/30/2060,4.75,16.07,15.81,19.1,20.8,7.9,22,3.1,7.4,19555,False
SCCE,baby_bond,Sachem Capital Corp. 6.00% Notes due 03/30/2027,6.0,24.29,18.39,24.45,33.0,97.4,22,2.7,6.2,4327,False
CMSC,preferred,CMS Energy Corp. 5.875% Junior Subordinated Notes due 10/15/2078,5.875,21.99,21.28,24.53,15.3,21.8,22,2.3,6.7,35105,False
MITP,baby_bond,AG Mortgage Investment Trust Inc 9.500% Senior Notes due 5/15/2029,9.5,25.11,24.2,25.65,6.0,62.8,22,1.4,9.5,8353,False
NEWTZ,bdc,NewtekOne Inc. 5.50% Notes due 2/1/2026,5.5,24.98,24.48,25.26,3.2,63.6,22,0.7,,6927,False
RILYT,baby_bond,BRC Group Holdings Inc 6.00% Senior Notes Due 1/31/2028,6.0,17.7,5.05,19.69,289.9,86.4,21,21.2,8.5,26277,True
AIZN,preferred,Assurant Inc. 5.25% Subordinated Notes due 1/15/2061,5.25,19.49,18.01,22.0,22.2,37.1,21,3.6,6.7,24072,False
CUBB,preferred,Customers Bancorp 5.375% Subordinated Notes Due 12/30/2034,5.375,22.1,18.3,23.99,31.1,66.8,21,3.3,6.1,2730,False
ABXL,baby_bond,Abacus Life Inc. 9.875% Fixed Rate Senior Notes,9.875,25.47,20.52,26.35,28.4,84.8,21,2.7,9.7,9288,False
METCI,baby_bond,Ramaco Resources Inc. 8.250% Senior Notes due 2030,8.25,25.08,23.52,26.2,11.4,58.4,21,1.0,8.2,11345,False
RWAY,bdc,Runway Growth Finance Corp. 7.50% Notes Due 07/28/2027,7.5,6.8,6.58,11.4,73.3,4.6,20,8.1,1993.0,356257,False
TMUSI,corporate,T-Mobile US 5.50% Senior Notes due 9/1/2070,5.5,21.42,21.13,24.8,17.4,7.9,20,2.9,6.4,58146,False
RILYN,baby_bond,BRC Group Holdings Inc 6.50% Senior Notes Due 9/30/2026,6.5,24.15,7.98,24.79,210.7,96.2,19,12.2,6.7,25632,False
CTBB,baby_bond,Qwest Corporation 6.50% Notes due 9/1/2056,6.5,19.07,13.89,20.93,50.7,73.6,19,6.5,8.5,47407,False
CMSA,preferred,CMS Energy Corp. 5.625% Junior Subordinated Notes due 3/15/2078,5.625,21.35,20.66,24.67,19.4,17.2,19,3.4,6.6,16221,False
CGBDL,baby_bond,Carlyle Secured Lending Inc. 8.20% Notes due 12/1/2028,8.2,25.48,25.05,26.75,6.8,25.3,19,1.6,8.0,11663,False
RILYK,baby_bond,BRC Group Holdings Inc 5.50% Senior Notes Due 3/31/2026,5.5,25.23,12.92,25.23,95.3,100.0,18,7.6,5.4,17870,False
UZE,baby_bond,Array Digital Infrastructure Inc. 5.50% Senior Notes due 3/1/2070,5.5,17.9,16.56,22.35,35.0,23.1,18,6.1,7.7,37707,False
TMUSZ,corporate,T-Mobile US Inc. 5.50% Senior Notes due 3/1/2070,5.5,21.22,21.0,23.94,14.0,7.3,18,3.3,6.5,65894,False
TWOD,baby_bond,Two Harbors Investment Corp 9.375% Senior Notes due 8/15/2030,9.375,25.37,25.05,26.19,4.6,28.1,18,1.8,9.2,30456,False
ADAMH,baby_bond,Adamas Trust Inc 9.875% Senior Notes due 10/01/2030,9.875,25.1,24.49,25.99,6.1,40.7,18,1.2,9.8,33561,False
OXSQH,bdc,Oxford Square Capital Corp 7.75% Notes due 2030,7.75,24.94,24.7,28.24,14.3,6.8,18,1.1,,7857,False
LTSK,baby_bond,Osaic Financial Services 7.25% Senior Notes due 9/30/2028,7.25,25.0,20.0,25.13,25.6,97.5,17,2.3,7.2,1268,False
TMUSL,corporate,T-Mobile US Inc. 6.25% Senior Notes due 9/1/2069,6.25,24.26,23.56,26.5,12.5,23.8,17,1.0,6.4,106225,False
UZD,baby_bond,Array Digital Infrastructure Inc. 6.25% Senior Notes due 9/1/2069,6.25,19.81,19.13,25.72,34.5,10.4,16,6.2,7.9,36308,False
GECCG,bdc,Great Elm Capital Corp 7.75% Notes due 12/31/2030,7.75,24.47,24.0,25.4,5.8,33.6,15,1.3,,6730,False
PRHIZ,baby_bond,Presurance Holdings Inc 9.75% Senior Unsecured Notes due 9/30/2028,9.75,17.05,16.99,25.3,48.9,0.7,14,15.2,14.3,2536,True
CIMP,baby_bond,Chimera Investment Corp 8.875% Senior Notes due 8/15/2030,8.875,24.77,24.25,25.6,5.6,38.5,13,1.2,9.0,39797,False
PMTW,baby_bond,PennyMac Mortgage Investment Trust 9.00% Senior Notes due 6/15/2030,9.0,25.09,24.78,25.91,4.6,27.3,12,1.0,9.0,24479,False
DTK,preferred,DTE Energy Co 2025 Series H 6.25% Junior Subordinated Debentures due 10/01/2085,6.25,23.97,23.61,25.59,8.4,18.2,10,1.3,6.5,144146,False
SCCC,baby_bond,Sachem Capital Corp. 7.75% Notes due 9/30/2025,7.75,24.99,24.22,25.47,5.2,61.6,8,1.6,7.8,4725,False
NOVTU,other,Novanta Inc. 6.50% Tangible Equity Units,6.5,53.41,47.57,64.51,35.6,34.5,7,11.5,,214941,False
RWTQ,baby_bond,Redwood Trust Inc 9.50% Senior Notes due 12/1/2030,9.5,23.96,23.1,26.3,13.9,26.9,5,1.9,9.9,37650,False
SRJN,preferred,Spire Inc. 6.375% Junior Subordinated Notes due 2086,6.375,24.24,23.96,25.43,6.1,19.0,2,1.9,6.6,79237,False
ADAMO,baby_bond,Adamas Trust Inc. 9.250% Senior Notes due 2031,9.25,24.43,23.78,27.4,15.2,18.0,2,1.1,9.5,40297,False
